Date,Total Marketing Budget,Targeted Marketing Budget,CPC,PaidClicks,Paid_Apps (live in month?) ,TotalApps(live in month?),Diff TotApps - PaidAppds,Avg Apps (Apps received in month/ jobs live in month) ,Avg Apps (jobs posted / apps) ,CPA,s1jobs visits (AA),page views,Unique visitors,s1jobs_live,s1jobs_live_Ex_COSLA,"Visit by Source_Organic (conversion highst conversion, does thia include branded/non branded)",GS.C Organic branded Impressions (s1jobs count proxy),Visit_by_Source_Paid,Visit_by_Source_Display,Visit_by_source_Direct,Visit_by_source_Email,Visit_by_source_PaidSocial,Visit_by_source_PaidAggregators,Visit_by_source_OrganicSocial,% Jobs  employers,GSC. Organic ,GSC. Organic Non Branded.  Avg Position. ,GSC. Organic Non branded clicks,GSC. Organic Non Branded Impressions,GSC. Organic Non Branded CTR,Permanent Availability (RBS) ,Temp Availability (RBS),Market share,job location (glasgow),job location (Edinburgh) 
01/01/2017,"£122,747",90011,0.17,,62620,252452,#VALUE!,11.91,,1.44,1656986,,714414,19773,17098,,,,,,,,,,0.23,,,,,,,,,,
01/02/2017,"£75,919",70970,0.15,,55306,224368,#VALUE!,10.63,,1.28,1509611,,644534,20314,17554,,,,,,,,,,0.23,,,,,,,,,,
01/03/2017,"£73,213",63548,0.17,,51162,239332,189832,10.44,,1.24,1544695,,655795,21690,18605,,,,,,,,,,0.22,,,,,,,,,,
01/04/2017,"£70,100",66246,0.16,,48202,200133,169062,9.93,,1.37,1316654,,589995,18700,16066,,,,,,,,,,0.21,,,,,,,,,,
01/05/2017,"£106,888",96528,0.16,,58279,221663,188170,9.74,,1.66,1546176,,718177,20983,17651,,,,,,,,,,0.21,,,,,,,,,,
01/06/2017,"£52,196",46247,0.15,,34429,197346,151931,8.29,,1.34,1262654,,586311,21756,17886,,,,,,,,,,0.21,,,,,,,,,,
01/07/2017,"£100,694",43464,0.14,,33296,184876,163384,8.51,,1.31,1190422,,526213,19675,17099,,,,,,,,,,0.21,,,,,,,,,,
01/08/2017,"£63,910",54783,0.14,,36435,216831,162917,8.56,,1.50,1285052,,572338,20525,17431,,,,,,,,,,0.20,,,,,,,,,,
01/09/2017,"£141,450",113462,0.13,,45322,180181,151580,8.54,,2.50,1545582,,748739,20048,16398,,,,,,,,,,0.22,,,,,,,,,,
01/10/2017,"£142,950",97125,0.11,,50331,180203,180396,8.70,,1.93,1582890,,736633,19955,16461,,,,,,,,,,0.22,,,,,,,,,,
01/11/2017,"£45,450",34065,0.13,,24947,143121,134859,7.40,,1.37,1045432,,477601,18904,16515,,,,,,,,,,0.20,,,,,,,,,,
01/12/2017,"£37,950",31761,0.12,,19890,97707,129872,6.99,,1.60,779843,,377093,13219,11943,,,,,,,,,,0.19,,,,,,,,,,
01/01/2018,"£151,700",115931,0.13,892329,56136,189585,118174,11.07,,2.07,1692333,,994162,16719,15322,,,,,,,,,,0.22,,,,,,,,,,
01/02/2018,"£108,200",78966,0.11,718531,47416,169905,77817,9.01,,1.67,1476971,,862573,18449,15589,,,,,,,,,,0.18,,,,,,,,,,
01/03/2018,"£83,200",75745,0.12,635706,42846,172525,133449,8.47,,1.77,1394258,,778154,19271,16073,,,,,,,,,,0.22,,,,,,,,,,
01/04/2018,"£84,700",73284,0.18,409118,43989,165592,122489,8.09,,1.67,1164102,,568310,18725,15791,,,,,,,,,,0.21,,,,,,,,,,
01/05/2018,"£129,200",102048,0.21,484285,44949,175496,129679,7.16,,2.27,1218553,,605020,21191,17502,,,,,,,,,,0.22,,,,,,,,,,
01/06/2018,"£78,200",70048,0.20,361962,35963,169313,121603,6.41,,1.97,1005756,,445957,22227,18222,,,,,,,,,,0.21,,,,,,,,,,
01/07/2018,"£99,000",66933,0.19,356494,33339,146294,130547,6.57,,2.01,948164,,463759,22992,20381,,,,,,,,,,0.19,,,,,,,,,,
01/08/2018,"£81,200",68266,0.19,365731,37380,162081,133350,6.68,,1.83,1015650,,487671,21481,17987,,,,,,,,,,0.19,,,,,,,,,,
01/09/2018,"£146,700",116851,0.28,413975,39322,117946,112955,5.61,,2.93,1048885,,467616,21020,17037,,,,,,,,,,0.19,,,,,,,,,,
01/10/2018,"£142,200",92536,0.24,377796,39322,118300,124701,5.53,,2.35,1072370,,494654,21383,17897,,,,,,,,,,0.18,,,,,,,,,,
01/11/2018,"£65,700",51747,0.17,298072,26455,99737,78624,4.87,,1.96,888640,,391110,20482,16921,,,,,,,,,,0.18,,,,,,,,,,
01/12/2018,"£48,000",,,,,57823,78978,3.77,,,561744,,257902,15342,12694,,,,,,,,,,0.15,,,,,,,,,,
01/01/2019,"£133,520",83629,0.27,313066,29070,113316,73282,6.14,,2.88,1060939,,476668,18463,15699,357497,,,,,185328,,,,0.18,,,,,,,,,,
01/02/2019,"£72,520",69582,0.22,314381,35205,207181,57823,5.91,,1.98,988242,,450596,18618,15466,284959,,,,,172909,,,,0.16,,,,,,,,,,
01/03/2019,"£125,020",78867,0.21,367144,35145,146398,84246,6.10,,2.24,1038238,,470886,18376,15042,272300,,,,,183331,,,,0.17,,,,,,,,,,
01/04/2019,"£80,020",63314,0.19,331921,26389,142223,171976,6.55,,2.4,919900,,423717,16790,13941,246953,,,,,158063,,,,0.17,,,,,,,,,,
01/05/2019,"£127,020",91398,0.23,"400,796",30388,120293,111253,6.63,,3.01,992770,,454565,18147,14539,259615,,,,,151842,,,,0.17,,,,,,,,,,
01/06/2019,"£83,520",73708,0.20,"372,416",44406,110937,115834,6.63,,1.66,904431,,430989,16742,13062,214648,,,,,132672,,,,0.17,,,,,,,,,,
01/07/2019,"£95,520",64682,0.19,"349,468",53037,84758,89905,6.75,,1.22,908058,,438839,16122,14027,221155,,,,,130514,,,,0.23,,,,,,,,,,
01/08/2019,"£87,020",61459,0.17,"353,803",47067,115287,66531,6.45,,1.31,963651,,469902,17012,13982,229891,,,,,144192,,,,0.18,,,,,,,,,,
01/09/2019,"£142,020",65598,0.19,"344,050",46522,107019,31721,6.10,,1.41,926044,,453816,17547,14041,213497,,,,,128785,,,,0.19,,,,,,,,,,
